url,beds,baths,address,price,area,image_url,distance_from_northwestern_tech
https://www.zillow.com/apartments/evanston-il/860-hinman/5XjRWb/,0,1,"860 Hinman, 860 Hinman Ave #095169ad6, Evanston, IL 60202",1145,,https://photos.zillowstatic.com/fp/ee542fe613c9b9846f6a5aff264290e5-p_e.jpg,1.679
https://www.zillow.com/apartments/evanston-il/810-clark-st/CkFGy2/,1,1,"810 Clark St, Evanston, IL",1970,,https://photos.zillowstatic.com/fp/dd2ae2802147fe9d71beb322ab34194f-p_e.jpg,0.675
https://www.zillow.com/apartments/evanston-il/810-clark-st/CkFGy2/,2,1,"810 Clark St, Evanston, IL",2560,,https://photos.zillowstatic.com/fp/dd2ae2802147fe9d71beb322ab34194f-p_e.jpg,0.675
https://www.zillow.com/apartments/evanston-il/2210-22-maple-ave./5XjSyc/,2,1,"2210-22 Maple Ave., 2210 Maple Ave #1010-212, Evanston, IL 60201",1995,750,https://photos.zillowstatic.com/fp/00a35f5e7319d6b617178cddba4060dc-p_e.jpg,0.46
https://www.zillow.com/apartments/evanston-il/1320-chicago/5XjMKz/,1,1,"1320 Chicago, 1320 Chicago Ave, Evanston, IL 60201",1590,506,https://photos.zillowstatic.com/fp/755ee2cfcb73b9330f08b278ab668972-p_e.jpg,1.142
https://www.zillow.com/apartments/evanston-il/910-judson/CkFTT6/,2,2,"910 Judson, 910 Judson Ave #912-3A, Evanston, IL 60202",2195,1150,https://photos.zillowstatic.com/fp/fb779cd7e16571a0a213b55f55ad4ffd-p_e.jpg,1.62
https://www.zillow.com/apartments/evanston-il/1303-maple/5XjQvs/,2,1,"1303 Maple Ave, Evanston, IL",1995,,https://photos.zillowstatic.com/fp/88601a5a51add062e276a52c4e794d69-p_e.jpg,1.251
https://www.zillow.com/apartments/evanston-il/1303-maple/5XjQvs/,3,1,"1303 Maple Ave, Evanston, IL",2395,,https://photos.zillowstatic.com/fp/88601a5a51add062e276a52c4e794d69-p_e.jpg,1.251
https://www.zillow.com/apartments/evanston-il/presidential-apartments/Cmp956/,0,1,"800 Hinman Ave, Evanston, IL",1585,,https://photos.zillowstatic.com/fp/bc3dfc75f24f9ed72ea17869505c7f93-p_e.jpg,1.769
https://www.zillow.com/apartments/evanston-il/presidential-apartments/Cmp956/,1,1,"800 Hinman Ave, Evanston, IL",1825,,https://photos.zillowstatic.com/fp/bc3dfc75f24f9ed72ea17869505c7f93-p_e.jpg,1.769
https://www.zillow.com/apartments/evanston-il/1100-church/CkQ7Yv/,2,1,"1100 Church St, Evanston, IL",2395,,https://photos.zillowstatic.com/fp/b14765d3cc40aa09e6ef15eb2acc5a47-p_e.jpg,0.906
